"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000005187",345.313987154929,-1.68445525004672,0.169788134453901,2.69842209145966e-24,6.34065848251436e-23
"ENSG00000005961",248.13801044976,-1.37465566413138,0.162003484964165,2.13138493245593e-18,3.18118735197076e-17
"ENSG00000006047",1493.51314041817,-1.83059387257892,0.101084865585976,1.99992222731299e-74,5.45978768056446e-72
"ENSG00000006283",227.56763906253,-1.6584129119941,0.18273908815237,9.43087061989067e-21,1.7164184528201e-19
"ENSG00000007047",1607.14524745403,-1.01062246803783,0.0817461469428646,6.18500463029981e-36,3.05486330670894e-34
"ENSG00000007255",470.723943614503,-1.1162676147009,0.141335508438881,3.56345472656198e-16,4.41827190085286e-15
"ENSG00000007402",85.6957717698664,-1.53485503395299,0.323387357973525,1.61769411646279e-07,7.73556597410471e-07
"ENSG00000007516",674.39979542654,-2.58518792086804,0.128471780728549,3.00228478237394e-91,1.32586194139249e-88
"ENSG00000008405",1794.82780721486,-1.15997364977269,0.0935740547927384,3.36434661420847e-36,1.67270411961392e-34
"ENSG00000008735",74.2714912506202,-1.91995042609542,0.376455828868776,2.24729848244772e-08,1.19997107802107e-07
"ENSG00000010219",32.0438016474006,-2.13516259655999,0.45782870530414,2.05318727209315e-07,9.64901624115139e-07
"ENSG00000010310",950.489505151565,-1.15351341372812,0.110766156243136,2.64393413541302e-26,7.28415982444523e-25
"ENSG00000010319",59.8128355547686,-1.15889666732069,0.356046964536765,0.000110584641263773,0.000347369955768943
"ENSG00000010361",36.2869700852147,-1.30278992736561,0.421587444907808,0.000164210645349309,0.000501142853642252
"ENSG00000010626",375.548481365153,-1.06782132485797,0.164935676199797,1.24826765261307e-11,9.80781727053126e-11
"ENSG00000011201",917.513847897027,-1.55226915780208,0.100395823892194,5.63953682661832e-55,6.72044805172017e-53
"ENSG00000011347",774.926419548508,-1.0597559850021,0.112941972452553,8.77677489501163e-22,1.73856563388654e-20
"ENSG00000012223",95.3358824677545,-2.17884862865393,0.319581893955544,6.1563030307602e-13,5.5684873498111e-12
"ENSG00000012779",1060.3398900836,-1.16180805503988,0.09705509252322,6.19472546280094e-34,2.7518876575135e-32
"ENSG00000013563",929.395812964362,-1.20520559245667,0.0950537495178263,9.01132391635701e-38,5.08665521068047e-36
"ENSG00000015520",40.3935911181203,-1.85929896204552,0.417775540308565,5.80766298544187e-07,2.56627603668068e-06
"ENSG00000019186",320.928852798972,-1.22587900745572,0.169972269102336,6.02729016858445e-14,6.02528374709025e-13
"ENSG00000019582",26.5183937129223,-1.09398512566671,0.534794655652628,0.00330100711505835,0.00789497002749301
"ENSG00000025423",144.390676914349,-1.04125777591293,0.237429180236049,1.4659542265649e-06,6.16431630717853e-06
"ENSG00000026297",335.56787383365,-1.13471952861245,0.136902956997439,1.43086842779083e-17,1.97286404437826e-16
"ENSG00000028137",716.314158340763,-1.32987555293777,0.105640679003679,2.64546451864688e-37,1.44354629996961e-35
"ENSG00000049249",219.772706398045,-2.02866240944237,0.185779993164377,6.92101243137693e-29,2.25910873167662e-27
"ENSG00000051620",583.009949073188,-1.17541062724546,0.145088046871536,6.30856322716311e-17,8.32364471492567e-16
"ENSG00000052344",134.097627370949,-1.59811381649618,0.214472300446995,7.83054609053211e-15,8.5696537572405e-14
"ENSG00000052802",6712.77686504544,-1.57669971144874,0.0745963516508107,3.13220725664723e-100,1.67964614137708e-97
"ENSG00000054179",1279.61688469897,-2.21756567182068,0.0996014931558558,5.48660271249049e-111,3.5817973794802e-108
"ENSG00000059804",148.806810357922,-1.64063054921547,0.218796709372802,5.31445750004287e-15,5.92842342965406e-14
"ENSG00000061337",18.7805509927531,-1.92200510105597,0.816973475974042,0.000824426103378642,0.0022168262790527
"ENSG00000061656",464.116225837568,-1.13920732505441,0.130092921220673,2.50254394580382e-19,4.00167170886522e-18
"ENSG00000062282",168.366582466029,-1.10140311187598,0.214198668515315,3.28153845307373e-08,1.71920097253671e-07
"ENSG00000064195",93.8695044272819,-1.02385872019555,0.248383764792917,4.85511210798886e-06,1.89103782883146e-05
"ENSG00000064300",50.1843626729095,-3.11458294682315,0.490974720902658,1.38566211873833e-11,1.08194054669038e-10
"ENSG00000065485",3881.37440699605,-1.23435992567774,0.0694809187612661,1.48411891923569e-71,3.48188212067561e-69
"ENSG00000066230",255.482485421349,-1.00926844709468,0.203405719305388,9.55874860795205e-08,4.71190447630991e-07
"ENSG00000067064",4554.01211672348,-1.36214301712469,0.0755099765687214,2.77175870733061e-74,7.43177803403021e-72
"ENSG00000067840",708.543339532038,-1.62952268289567,0.143248318379853,4.60205243063332e-31,1.72318746249275e-29
"ENSG00000068831",57.2255048700391,-2.18200970756681,0.337973295487712,7.58810971609828e-12,6.08629633478716e-11
"ENSG00000069667",146.490942196738,-1.38789083724082,0.205261247509847,1.30073529292147e-12,1.13417772492543e-11
"ENSG00000069696",122.232352620022,-1.61295636570103,0.248691286442225,7.03545606604665e-12,5.66724103174305e-11
"ENSG00000070540",1062.42519365896,-1.43960819181863,0.0888034639049347,4.17611406990931e-60,6.20044394635828e-58
"ENSG00000070759",321.254819808435,-1.0808464356178,0.153761039691856,2.71048148504151e-13,2.5515911910908e-12
"ENSG00000070808",33.8023476483111,-1.51075975592638,0.466722865950449,8.48454071112582e-05,0.000271747821624476
"ENSG00000071246",97.9074791407785,-1.20032428550554,0.302270286368939,7.11667275314239e-06,2.7059215342728e-05
"ENSG00000071282",590.70231006637,-1.06040240887551,0.127544843665332,1.26016160462831e-17,1.74873627481461e-16
"ENSG00000072858",8.90118107043309,-3.43660347356337,1.16547242181069,0.000259931559185539,0.000762577639931784
"ENSG00000073150",1109.40278263405,-1.02307964652006,0.103617384426656,7.84008746820214e-24,1.7863264542497e-22
"ENSG00000073605",391.20930736491,-1.83831788007101,0.156345852126374,4.94612740320264e-33,2.11584338914779e-31
"ENSG00000073670",221.779530538593,-1.93091025747942,0.204753521845274,3.02779944220455e-22,6.18536171764644e-21
"ENSG00000074410",3607.84419441899,-1.54616947800562,0.0705137110608222,1.28150062598551e-107,7.4006661150663e-105
"ENSG00000075043",118.472851205067,-2.51643844253501,0.249509671873263,4.48294225371902e-25,1.12938553589918e-23
"ENSG00000075461",73.2464785506847,-1.7288460460096,0.310920841912664,2.02550921549111e-09,1.22732126192893e-08
"ENSG00000075884",13.7963836072526,-2.22475854183086,0.865995969867573,0.000477921397235877,0.00134055478787534
"ENSG00000077616",95.61732900522,-1.10108706789094,0.254183912514584,1.73818018544899e-06,7.23960485007396e-06
"ENSG00000079337",623.881225497052,-1.41589330719485,0.11667274310097,6.57958261478818e-35,3.08726353003264e-33
"ENSG00000079435",613.672584421923,-1.38202913534162,0.106937595245257,3.29965887508241e-39,1.9817751203745e-37
"ENSG00000079459",14371.9799161864,-1.10450275356637,0.0611462556508334,8.51029689825467e-74,2.20313979184989e-71
"ENSG00000081377",980.952303276446,-1.40476685409689,0.120383573943567,1.7693288146616e-32,7.23882074990298e-31
"ENSG00000082074",13.720216414391,-1.12457820600724,0.74375882832522,0.00784365142098845,0.0172762837151447
"ENSG00000084444",613.71845842535,-1.07736161922336,0.120760912324869,6.20556052193198e-20,1.05403270629874e-18
"ENSG00000085449",675.559907413404,-1.19549624449735,0.1284053536532,1.47900184772285e-21,2.89156415931752e-20
"ENSG00000085741",288.250918020961,-1.41752484596231,0.164230619627388,5.65777101218645e-19,8.82154016074554e-18
"ENSG00000086619",121.701345836675,-1.37682897007551,0.231389447197879,2.52226224498542e-10,1.70286724858166e-09
"ENSG00000086730",203.350354773531,-1.25296797213717,0.206081481211028,1.24511619599275e-10,8.77719233935732e-10
"ENSG00000087116",11.2361142298803,-2.8541652343015,0.973289176122361,0.000192622030242958,0.000579138923527836
"ENSG00000087301",461.910279503481,-1.18083177950225,0.1642540248924,7.54046136567453e-14,7.48809705063512e-13
"ENSG00000088881",113.378130149998,-2.05811224663377,0.235274504578541,1.62523585744538e-19,2.64673713660981e-18
"ENSG00000089116",11.0547117860491,-1.13498337856053,0.99474686011105,0.0109353987809964,0.0232570839513683
"ENSG00000089558",81.1569774805264,-1.25873825528944,0.323500175743132,9.28688469891333e-06,3.47131127095304e-05
"ENSG00000089847",134.315082001289,-2.05271838370296,0.230299396278277,3.6549797766059e-20,6.36653379880947e-19
"ENSG00000090238",704.823208898212,-1.13528636258191,0.136150217178046,9.22435913088867e-18,1.29563846913277e-16
"ENSG00000090539",566.391625512436,-1.41557061784688,0.113203127935141,6.85816781576268e-37,3.67769249120274e-35
"ENSG00000092068",282.187139796195,-2.05365359462864,0.164721495009546,8.12489753413208e-37,4.31078927473474e-35
"ENSG00000092758",3978.6104844381,-1.37346911126354,0.0670989777720879,4.07461548682189e-94,1.85395004650396e-91
"ENSG00000092871",449.308470189102,-1.00174981212232,0.13849874794885,6.97489688961411e-14,6.94483267888301e-13
"ENSG00000094755",33.2997433227976,-1.13374437220835,0.43327929674069,0.000808336286901757,0.00217707073503675
"ENSG00000095303",15314.3510460555,-1.41073831007078,0.0601807058836232,1.51919318824052e-122,1.52071238142876e-119
"ENSG00000095370",54.9390345238865,-2.37993253923418,0.368304095509005,6.96342877364283e-12,5.61524613513679e-11
"ENSG00000095637",208.254808373673,-1.25306736613065,0.17972336908787,3.3606870651603e-13,3.13031738730657e-12
"ENSG00000099330",1970.97917280081,-1.28505235097601,0.0863191664198275,4.25796437269729e-51,4.50234753915843e-49
"ENSG00000099337",103.490094266357,-1.32047328713123,0.265624545710489,6.29420060099198e-08,3.16538988504116e-07
"ENSG00000099769",26.0142450107427,-1.86968649844109,0.518450310308025,1.9572062081785e-05,6.94410472963142e-05
"ENSG00000099953",15.9255168560198,-1.08844899937173,0.707302377034349,0.00789232634252928,0.0173656623729597
"ENSG00000099958",124.371919732845,-1.82975276349308,0.247688445028675,1.12031311598399e-14,1.21105121933042e-13
"ENSG00000100055",14.3870101037613,-1.35224088800013,0.741458176969937,0.00371667981048579,0.00879301065430158
"ENSG00000100077",133.19743946531,-1.88138689616018,0.25414478128335,9.79963842855226e-15,1.06393037602829e-13
"ENSG00000100116",418.271446786564,-1.45506589766518,0.147679069435488,6.11878355880907e-24,1.41343900208489e-22
"ENSG00000100167",585.082258116868,-1.55657669765724,0.124673435202719,7.79494323880083e-37,4.15039265002108e-35
"ENSG00000100196",2990.66645655251,-1.02644042157562,0.0718246092007409,3.64514759136994e-47,3.3577847291055e-45
"ENSG00000100226",2109.83520763894,-1.19816957035875,0.0951369385127161,2.65347172022386e-37,1.44354629996961e-35
"ENSG00000100288",30.230988351846,-1.16642862755466,0.477112095147992,0.00120775216777307,0.0031615060667909
"ENSG00000100385",119.117662099427,-2.71040799400795,0.273378526196943,2.53589093592772e-24,5.97745720611535e-23
"ENSG00000100429",16.7674667955317,-1.45010123442495,0.76739634334369,0.00294920247333905,0.00713769747536845
"ENSG00000100593",21.1708256208124,-1.89166913479365,0.627559016666778,0.000145101274012239,0.000447095347690081
"ENSG00000100968",53.5874783918708,-1.50514426171916,0.372050474530823,3.99191729361906e-06,1.57443231320436e-05
"ENSG00000100985",24.4436920855668,-1.12284186000841,0.534967309407782,0.00284753669619261,0.00690165673822954
"ENSG00000101199",6345.12917484569,-1.59865071544698,0.0757229416783912,5.93938199705495e-100,3.07516623054414e-97
"ENSG00000101331",6.88207937936449,-2.57642767419668,1.53088531356007,0.00341086019537701,0.00812921679898188
"ENSG00000101337",3751.16165225307,-1.16065475049843,0.0691120226262999,3.34023575859004e-64,5.69927726309425e-62
"ENSG00000101460",150.625649156781,-1.28886841656761,0.210892739057027,1.00528823805086e-10,7.12672469043136e-10
"ENSG00000102001",71.1657217164598,-1.54936297457982,0.321525434927263,1.14233892205111e-07,5.58522270094348e-07
"ENSG00000102057",381.889195281185,-1.01069481751435,0.129765605681947,9.93807694630974e-16,1.19185483505464e-14
"ENSG00000102760",20.1312966767216,-1.02414337540919,0.656137463150298,0.00841801707450485,0.0183662491098068
"ENSG00000102996",6136.05576680028,-1.34473016464236,0.0622113436781439,1.29361489377225e-104,7.19393615925569e-102
"ENSG00000103196",667.757876771881,-1.82972067248142,0.111157021055505,5.48529499245517e-62,8.66965308544361e-60
"ENSG00000103202",5695.72671573096,-1.10210526333005,0.0800041594177297,4.68180598766404e-44,3.77942564004169e-42
"ENSG00000103353",2709.42001773813,-1.63879335120727,0.0735515330573303,4.7792822981506e-111,3.26186016848778e-108
"ENSG00000103460",625.742462496533,-1.04401376305031,0.128726842452811,7.06002966399453e-17,9.28251711075988e-16
"ENSG00000103489",938.746001114318,-1.28069434228325,0.097313315088249,1.59615096971248e-40,1.03749813031311e-38
"ENSG00000103888",1718.01457927747,-1.5522442191844,0.108818691822178,3.17341357218849e-47,2.95955309232361e-45
"ENSG00000104081",99.7123148944774,-1.54059827524281,0.286052723527114,5.80061998228392e-09,3.34599727368394e-08
"ENSG00000104549",4655.25461877615,-1.21049484168717,0.067019409418297,7.48648164312803e-74,1.97209687493978e-71
"ENSG00000104808",20.5601092614916,-1.1467187413595,0.616630045960465,0.00437780237702826,0.0102355500920397
"ENSG00000104833",185.680822415622,-1.74019003621482,0.189436796694347,3.2456336717493e-21,6.12225999765273e-20
"ENSG00000104888",74.4697898499849,-3.47769183958453,0.349785485547469,2.4688762248489e-24,5.82864410630601e-23
"ENSG00000104892",178.827344079787,-1.65418732050147,0.217195485603498,2.07670140450586e-15,2.38757056574697e-14
"ENSG00000104894",50.8085521350112,-2.22992092712845,0.447689887888447,3.85836586852884e-08,1.99839129065059e-07
"ENSG00000104967",120.892874591317,-3.46011397747989,0.278109773011555,1.30816010137283e-36,6.79654806993529e-35
"ENSG00000105219",205.584984838576,-1.64034311156888,0.213894037624437,1.38334785724131e-15,1.6240006314682e-14
"ENSG00000105251",53.0973752356162,-1.06713061027172,0.388840699226433,0.000617656369142552,0.00169886616279088
"ENSG00000105290",2120.08610375025,-1.06803432607535,0.0803534151144088,3.55649802508371e-41,2.42730990211963e-39
"ENSG00000105339",1505.68967210055,-1.16447260735243,0.0826924289134561,5.80312454686719e-46,5.21759970486293e-44
"ENSG00000105357",207.974226736399,-1.98941230571635,0.225407156028964,7.63736229729836e-20,1.28415447809558e-18
"ENSG00000105373",8265.66011496002,-1.36333536793986,0.0720474747067106,7.43023918891741e-81,2.47922314270211e-78
"ENSG00000105376",1335.26493604261,-1.60803920226216,0.0973774035403108,2.43947963823651e-62,3.93857922237863e-60
"ENSG00000105409",10.4055038520779,-1.10498883687278,1.03250559649925,0.0119086700681199,0.0250642950760892
"ENSG00000105427",18.7713447127884,-1.31108464864692,0.621790844872179,0.00223329168075817,0.00553256469008148
"ENSG00000105516",652.848319794153,-1.01667391340973,0.121811042072313,1.01676532534541e-17,1.42546511298425e-16
"ENSG00000105519",48.5059346836522,-1.28141999490873,0.393626766453878,9.57362921295495e-05,0.000304744631402414
"ENSG00000105549",66.811801296974,-1.62946879256036,0.407169639563866,4.35328163262223e-06,1.70798337376072e-05
"ENSG00000105556",1120.31704702988,-1.02826560406001,0.112924480538961,1.22633250786835e-20,2.21581018118452e-19
"ENSG00000105617",471.277705885175,-1.05520186552957,0.132472713682282,2.21981900992529e-16,2.79384597099986e-15
"ENSG00000105639",601.123524800189,-1.44056961275205,0.119206851864634,1.2057740178274e-34,5.51972465782879e-33
"ENSG00000105641",542.36623884089,-1.61355267092389,0.118897105239606,5.07682787902103e-43,3.83058143736185e-41
"ENSG00000105649",650.829965800313,-1.47912529864964,0.108929328269136,4.96390572096107e-43,3.76429517172881e-41
"ENSG00000105655",567.091904710867,-1.50664458894857,0.136050464240161,1.48098943201637e-29,5.01965153989294e-28
"ENSG00000105894",161.213529073921,-1.39007836255221,0.235701473000531,3.36507889621579e-10,2.22780686184657e-09
"ENSG00000106089",1168.55894094904,-1.17717350818592,0.0888357800168741,5.35171660895866e-41,3.5873225394426e-39
"ENSG00000106803",1750.183478515,-1.12406060543688,0.0955966568695902,8.13276484533044e-33,3.41099061878873e-31
"ENSG00000106948",490.143839509513,-1.08044297727763,0.122302712300599,1.34940749030616e-19,2.21677827865942e-18
"ENSG00000106976",1014.78701409712,-2.10908156549133,0.105771182485143,1.27493454937715e-89,5.03766901549945e-87
"ENSG00000107159",514.252749591876,-1.07054218309763,0.130316508680453,2.84317583005991e-17,3.83560512923177e-16
"ENSG00000107551",71.9179894041534,-1.46579563754474,0.306084241896377,1.40326332626796e-07,6.76404457268489e-07
"ENSG00000108001",22.917962897046,-1.31003861444059,0.567459422699381,0.001426084348767,0.00367536156826923
"ENSG00000108018",45.4976795601638,-3.73812701695228,0.479839292914946,6.56548657979727e-16,7.98224947333247e-15
"ENSG00000108387",62.3347310393626,-1.12305356837673,0.314998024451537,3.88536085783694e-05,0.000131304733919472
"ENSG00000108582",2670.45456420013,-1.34827334599848,0.0796405078311467,2.76859638044462e-65,5.06957007955804e-63
"ENSG00000108771",27.4354370177849,-2.20169790943628,0.558489245773494,4.70948290557631e-06,1.8390867575352e-05
"ENSG00000108840",1460.26649165505,-1.60871891792726,0.0978984680218576,9.4622884840524e-62,1.47996105820882e-59
"ENSG00000108950",5.75565978596462,-5.78052470766242,2.77191873806309,0.000136749471394483,0.000422749292359104
"ENSG00000109107",2033.80524476164,-1.59836758819243,0.0806878763993924,2.1277369652157e-88,8.19178731608043e-86
"ENSG00000109472",10.6042833823909,-2.48199279716499,0.960725458842887,0.000497849017745232,0.00139203035408653
"ENSG00000110492",49.9450666166814,-1.4683258158134,0.378704956947462,8.2240228355746e-06,3.09638171705498e-05
"ENSG00000111291",76.9756338840518,-1.23895031907477,0.299467798098347,3.43842151589199e-06,1.37198775076052e-05
"ENSG00000111432",2596.38272468485,-1.00986052731158,0.0690346442643921,2.72882296317015e-49,2.7684646481081e-47
"ENSG00000111711",2957.18082115627,-1.05791354723387,0.0708812442048611,3.17936820607163e-51,3.40987240101182e-49
"ENSG00000111801",201.198801500342,-1.14299664630262,0.175946211068074,9.92357562087772e-12,7.86292812387752e-11
"ENSG00000112511",2703.50646193666,-1.02533938285125,0.0712168760530334,7.83116216679297e-48,7.58612257641268e-46
"ENSG00000112599",37.097658029765,-2.16304105429635,0.434475025105214,4.24577764190388e-08,2.186226038861e-07
"ENSG00000112655",1237.7572766467,-1.13046136574818,0.0917883458422805,9.42338478019284e-36,4.60886392425393e-34
"ENSG00000112972",4131.90774447539,-1.7979514408805,0.0771399520007758,2.97013593038982e-121,2.7872869371752e-118
"ENSG00000113140",8.38837123944873,-1.60208333482496,1.10890216952153,0.00556186114214779,0.0126839831484431
"ENSG00000113916",1970.83320422766,-1.36216633606848,0.0823927931436051,2.16925687061243e-62,3.54036868611366e-60
"ENSG00000114796",1184.09098375396,-1.19909315348806,0.0895923949318067,8.83688311749641e-42,6.348602871254e-40
"ENSG00000115170",374.81089175931,-1.3710584591969,0.133152092144008,7.27995886858399e-26,1.94499256960478e-24
"ENSG00000115194",297.424784353454,-1.52170529393067,0.15632279659506,1.90405994170328e-23,4.25438393224328e-22
"ENSG00000115457",3.88946634242479,-4.85090458462156,2.79622209136851,0.000730279100404838,0.0019810552290115
"ENSG00000115705",22.0513726304419,-1.29632080112457,0.562031257517536,0.00146265951867732,0.00376123183300908
"ENSG00000115738",160.675010114622,-1.04162223198695,0.237187292840161,1.42272116429624e-06,5.99219026140476e-06
"ENSG00000116032",198.699652296534,-1.64567077979927,0.214042618211571,1.19381610373801e-15,1.41812886057169e-14
"ENSG00000116678",175.246682330347,-1.14832599228776,0.239073902827131,1.75057800902281e-07,8.31801544477136e-07
"ENSG00000116819",46.342714445397,-1.08676050699243,0.405465066438602,0.000716396014627688,0.00194867502891934
"ENSG00000116981",14.4433757446177,-2.01157086964474,0.716613754085133,0.000275332525263568,0.000803521451279393
"ENSG00000116983",194.807238890072,-2.7288693589713,0.199453857325035,9.60219336018681e-44,7.62840916948174e-42
"ENSG00000116990",53.5276083208431,-1.33667438408493,0.337943216298641,6.73868125247527e-06,2.5706630844999e-05
"ENSG00000117016",197.510473574863,-1.34478257615792,0.198650038632693,1.26125638635404e-12,1.10231458912142e-11
"ENSG00000117245",136.06280713345,-1.26938439981508,0.213206005436196,2.72340375814339e-10,1.83043453126781e-09
"ENSG00000118816",12351.256959718,-1.01523671253866,0.0601447051948001,9.44006259854917e-65,1.68741118949067e-62
"ENSG00000118960",878.271571224187,-1.2624017939755,0.100271264975169,2.63582076902072e-37,1.44354629996961e-35
"ENSG00000118971",10.2351776849627,-1.39374936405145,0.92254039687677,0.00587154443906828,0.0133254594547476
"ENSG00000119121",14.751329297847,-1.63121950827229,0.754401620451147,0.00156019802241399,0.00399290494401672
"ENSG00000119138",1690.71786613469,-1.03409784885659,0.087719600522457,6.54715367460232e-33,2.76916936406067e-31
"ENSG00000119630",138.516785044407,-1.52642033041324,0.215912146480255,1.35066299430648e-13,1.31775210263235e-12
"ENSG00000119900",636.070231525636,-1.06130173034397,0.131357816279147,8.90702912135625e-17,1.15591220619848e-15
"ENSG00000120217",238.616033228696,-1.54949581730456,0.161618571840146,8.02941062554919e-23,1.72477253995166e-21
"ENSG00000121068",243.674695900192,-1.14814475751028,0.16695092516554,7.32202784118677e-13,6.54795997828584e-12
"ENSG00000121104",11.7346631052573,-1.04906332906941,0.908027634128154,0.0123642905227517,0.0259287461171951
"ENSG00000121552",6.76783401422319,-1.91726666458186,1.77269947831804,0.00678790907711137,0.0151644777254616
"ENSG00000121743",73.0773821387263,-1.09471050386869,0.299710036970021,2.90764984800763e-05,0.000100387129151149
"ENSG00000122641",26.6697183052124,-1.51876791976449,0.500529470175895,0.000164690946232999,0.000502200356963541
"ENSG00000122733",12.2568911811242,-1.71451021162627,0.965675898724976,0.00302511665060567,0.00730376692536487
"ENSG00000122735",20.9383339175548,-1.62182557255854,0.626287229684393,0.000552832572657858,0.00153292356019533
"ENSG00000123838",352.272254146614,-1.98673101232711,0.138381527865785,7.36164356331999e-48,7.17760247423699e-46
"ENSG00000124203",99.1455726446009,-1.17689219359056,0.249977873833946,2.71870631541354e-07,1.25875347906057e-06
"ENSG00000124216",921.203621167963,-1.22675718183599,0.0980058867626206,6.88742445248979e-37,3.68023765673075e-35
"ENSG00000124253",494.515847718801,-1.1161869654666,0.116202979892529,9.79217986765641e-23,2.09443847169318e-21
"ENSG00000124302",8.92597401827118,-4.03688953496495,1.2312181007317,0.000154605729121484,0.000474530871373485
"ENSG00000124333",57.817164024733,-1.98386664189005,0.512959974847441,6.19647101681265e-06,2.37953995696782e-05
"ENSG00000124370",788.091833703369,-1.20908838943648,0.108789180398167,1.23566319190447e-29,4.21670064237401e-28
"ENSG00000124942",11463.0130080357,-1.50815023735415,0.10733397877456,6.76519428534121e-46,6.0463923925237e-44
"ENSG00000125398",620.473101723699,-1.31546284262158,0.109266623536838,2.34282724756929e-34,1.05956479283894e-32
"ENSG00000125657",3726.94527139241,-1.07286942855953,0.0807911452888392,3.35875435880225e-41,2.30281720079524e-39
"ENSG00000126106",189.871697436892,-1.00535524841369,0.186624388052448,1.00917121121466e-08,5.6121132356993e-08
"ENSG00000126231",43.7445396742195,-1.09132480480977,0.386715053573467,0.00047915571613142,0.00134376598388369
"ENSG00000127585",4310.48072089974,-1.51537699927076,0.0787504034828145,5.41589444854723e-84,1.98340622304724e-81
"ENSG00000128203",11.905564093653,-2.18216147993497,0.817299037115369,0.0004034712294393,0.00114433708160769
"ENSG00000128271",11.0756547971908,-3.8481260208031,1.13081695210316,6.45837827220445e-05,0.000210718274135484
"ENSG00000128482",49.5970947810218,-1.67010744294663,0.353159528365936,1.69803064672047e-07,8.08368109083951e-07
"ENSG00000128564",238.79163275056,-1.73949212440907,0.226818521432991,1.29120578402773e-15,1.52177824546126e-14
"ENSG00000128591",29.1844572089851,-1.83919615862817,0.543084045078889,4.25437335254592e-05,0.00014287500757879
"ENSG00000128596",32.6490752893076,-1.5144971879372,0.474771897033558,9.87932167721323e-05,0.000313207127224191
"ENSG00000128917",57.0412549443648,-1.17950387354622,0.333527836240743,4.02056366546426e-05,0.000135660142554935
"ENSG00000129244",90.2538251759012,-3.43715697289356,0.321343169209154,8.83874731783028e-28,2.67029760517549e-26
"ENSG00000129757",3171.62440366227,-1.05461245983862,0.0831076396372583,9.46899313942002e-38,5.28538780625991e-36
"ENSG00000129910",31.1451948924143,-1.99412912979551,0.509307509677237,5.58242136489457e-06,2.15808591127425e-05
"ENSG00000129990",20.6693987155245,-2.65352610958396,0.604800591535756,7.75570211135758e-07,3.37248384598998e-06
"ENSG00000129991",18.0703784539747,-1.22928228196218,0.686815691062548,0.00441110179656949,0.0103053825230264
"ENSG00000130066",14984.7702886406,-1.1352550204675,0.074405645064782,1.79413770965543e-53,2.0564105122501e-51
