"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000135346",14821.8282811168,-3.63416513064853,0.0711939309951844,0,0
"ENSG00000172379",1451.55332265544,-4.03752365261775,0.107128525927302,0,0
"ENSG00000198727",89162.5416283537,2.66688647584442,0.0786496633584117,3.29664259129787e-253,1.64996961694459e-249
"ENSG00000265972",12674.1579507007,-1.86634189623773,0.0590236294077417,1.35862964875172e-220,5.09995604400176e-217
"ENSG00000181634",2886.09168069361,2.54756611323536,0.086593526448339,2.39715828230423e-191,7.19866632175959e-188
"ENSG00000069535",3751.70927572598,1.73600432394387,0.0645557183986246,2.30587861392928e-160,5.77046123135802e-157
"ENSG00000179335",3131.47717546222,-1.95256133723638,0.072929030555454,4.78342105723387e-159,1.02604381677666e-155
"ENSG00000228253",15563.2742716875,1.46291640353394,0.0566198231236603,3.30704299141641e-148,6.20690631451467e-145
"ENSG00000179855",1471.64712379066,-2.4427324463849,0.0949359898093601,3.44474158440201e-147,5.74697720997735e-144
"ENSG00000231738",627.786686187016,-3.64037923959403,0.144152186290792,8.38250212557873e-142,1.25863269415565e-138
"ENSG00000131069",7078.47137913605,-1.47356650014096,0.0597378398859254,2.17066571912717e-135,2.96295870660859e-132
"ENSG00000040275",2408.04804898638,1.75560102139915,0.0712021491589369,2.59281434480186e-135,3.24425894893333e-132
"ENSG00000146374",1295.62227424322,2.48259522445725,0.103127714213194,3.28593057693287e-129,3.79524981635747e-126
"ENSG00000065325",6892.29821662377,1.51372206112894,0.0636060873250417,3.26668317573645e-126,3.50351770597734e-123
"ENSG00000095303",15314.3510460555,-1.41073831007078,0.0601807058836232,1.51919318824052e-122,1.52071238142876e-119
"ENSG00000112972",4131.90774447539,-1.7979514408805,0.0771399520007758,2.97013593038982e-121,2.7872869371752e-118
"ENSG00000072274",16775.242812231,1.47415061062697,0.0642544425223309,1.93165715228863e-117,1.70610777303611e-114
"ENSG00000151012",2032.72555214629,1.94509312598393,0.084940734109138,3.69928368941873e-117,3.08581914425679e-114
"ENSG00000174080",1446.70530227341,-1.97913821231535,0.0875026653551438,2.13949132092578e-114,1.69076116756319e-111
"ENSG00000146733",1735.94716781899,1.89473203785788,0.0839899020029977,8.42003416355481e-114,6.32134064828877e-111
"ENSG00000140105",7538.76445416855,1.38337421823068,0.0614548424988204,3.37433221135135e-113,2.41264753111622e-110
"ENSG00000103353",2709.42001773813,-1.63879335120727,0.0735515330573303,4.7792822981506e-111,3.26186016848778e-108
"ENSG00000054179",1279.61688469897,-2.21756567182068,0.0996014931558558,5.48660271249049e-111,3.5817973794802e-108
"ENSG00000186480",5735.67537430459,-1.54440167752612,0.0700433535674799,9.04393223800072e-109,5.6581101063992e-106
"ENSG00000187109",25953.4346255114,-1.41000771090527,0.0640680397718022,2.55839997183658e-108,1.53657502308505e-105
"ENSG00000074410",3607.84419441899,-1.54616947800562,0.0705137110608222,1.28150062598551e-107,7.4006661150663e-105
"ENSG00000102996",6136.05576680028,-1.34473016464236,0.0622113436781439,1.29361489377225e-104,7.19393615925569e-102
"ENSG00000052802",6712.77686504544,-1.57669971144874,0.0745963516508107,3.13220725664723e-100,1.67964614137708e-97
"ENSG00000101199",6345.12917484569,-1.59865071544698,0.0757229416783912,5.93938199705495e-100,3.07516623054414e-97
"ENSG00000204569",1559.97468031212,1.66562126352414,0.0805027326646027,3.70674830391988e-96,1.8552275261119e-93
