#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4521996	17371935	6.9779	2.70897	36.2	58
chr2	1	242193529	2198131	11759616	4.85546	1.35205	36.2	58.1
chr3	1	198295559	2039320	9655764	4.86938	1.53407	36.2	58.8
chr4	1	190214555	677745	5549739	2.91762	0.531452	36.2	59
chr5	1	181538259	1930978	9029382	4.97382	1.58662	36.2	58.4
chr6	1	170805979	1892120	7860511	4.60201	1.65193	36.2	57.7
chr7	1	159345973	1977030	8990617	5.6422	1.85017	36.2	58.1
chr8	1	145138636	1227004	6135227	4.22715	1.26079	36.2	58.8
chr9	1	138394717	1926434	7816042	5.64764	2.07612	36.2	58.1
chr10	1	133797422	1254055	7000084	5.23185	1.39813	36.2	58.5
chr11	1	135086622	3189975	8938821	6.6171	3.52301	36.2	58
chr12	1	133275309	2775392	8537313	6.40577	3.10562	36.2	57.7
chr13	1	114364328	562980	3419201	2.98974	0.734242	36.1	58.9
chr14	1	107043718	957556	4907571	4.58464	1.33423	36.2	58.9
chr15	1	101991189	1237518	5675606	5.5648	1.80984	36.2	58.4
chr16	1	90338345	1944411	7564679	8.37372	3.2102	36.2	56.9
chr17	1	83257441	2664386	9309494	11.1816	4.77117	36.2	58.8
chr18	1	80373285	298186	2396511	2.98173	0.553365	36.2	58.7
chr19	1	58617616	2582601	8103554	13.8244	6.56956	36.2	58.5
chr20	1	64444167	1144948	4237647	6.57569	2.64988	36.2	58.9
chr21	1	46709983	537585	2776086	5.94324	1.71651	36.2	40.9
chr22	1	50818468	781200	3694637	7.27026	2.29197	36.2	58.9
chrX	1	156040895	1442419	5770269	3.69792	1.37891	36.2	56.8
chrY	1	57227415	27057	226462	0.395723	0.0704678	36.2	5.9
chrM	1	16569	4223679	16569	100	37998.8	36	59.4
GL000008.2	1	209709	78	6616	3.15485	0.0551669	35.8	35
GL000009.2	1	201709	1436	42070	20.8568	1.06141	36.2	56.3
GL000194.1	1	191469	1828	28565	14.9189	1.42166	36.2	51.3
GL000195.1	1	182896	2633	58395	31.928	2.14301	36.1	42
GL000205.2	1	185591	1225	33865	18.2471	0.982472	36.1	30.1
GL000213.1	1	164239	20	1611	0.980888	0.0182113	36.5	1
GL000214.1	1	137718	1120	27488	19.9596	1.21182	35.9	10.6
GL000216.2	1	176608	6	300	0.169868	0.00509603	36	60
GL000218.1	1	161147	1954	34968	21.6994	1.80628	36.2	54
GL000219.1	1	179198	215	7418	4.13956	0.178428	36.1	57.5
GL000220.1	1	161802	46797	56794	35.1009	43.1319	36	2.98
GL000221.1	1	155397	101	8738	5.62302	0.0968552	36.4	26.1
GL000224.1	1	179693	8	1006	0.559844	0.00653893	35	52.6
GL000225.1	1	211173	8	851	0.402987	0.00560204	36.3	60
KI270438.1	1	112505	2	259	0.230212	0.00265766	34.1	1
KI270442.1	1	392061	49	2820	0.719276	0.0185991	36.4	55.1
KI270466.1	1	1233	4	361	29.2782	0.481752	36.5	60
KI270467.1	1	3920	23	1126	28.7245	0.843878	35.7	60
KI270519.1	1	138126	2	150	0.108596	0.00217193	36	60
KI270706.1	1	175055	594	27523	15.7225	0.504807	36.2	53.6
KI270707.1	1	32032	30	3109	9.70592	0.139923	36.4	60
KI270708.1	1	127682	2	290	0.227127	0.00233392	36.4	60
KI270709.1	1	66860	3	293	0.438229	0.00653605	36.6	40.3
KI270710.1	1	40176	1	148	0.368379	0.00368379	36.7	60
KI270711.1	1	42210	897	10933	25.9014	3.16127	36.2	26
KI270712.1	1	176043	31	2516	1.4292	0.0261754	35.7	21.8
KI270713.1	1	40745	81	4867	11.945	0.294981	36.3	36.6
KI270714.1	1	41717	70	5452	13.069	0.249874	36.2	54.1
KI270717.1	1	40062	2	298	0.743847	0.00743847	36.1	1
KI270718.1	1	38054	33	1896	4.98239	0.128449	36.2	9.73
KI270719.1	1	176845	19	1906	1.07778	0.0160423	36.4	25.7
KI270720.1	1	39050	13	1151	2.9475	0.0499104	36.5	60
KI270721.1	1	100316	29307	11708	11.6711	43.5926	36	1.1
KI270722.1	1	194050	48	3482	1.79438	0.0366297	36.3	58.8
KI270723.1	1	38115	4	296	0.776597	0.0155319	33.5	60
KI270724.1	1	39555	22	1510	3.81747	0.0830995	36.2	54.6
KI270725.1	1	172810	16	941	0.544529	0.0138302	36.5	60
KI270727.1	1	448248	33	2582	0.57602	0.0110028	35.9	18.8
KI270728.1	1	1872759	25	1180	0.0630086	0.00197943	36.1	31.7
KI270731.1	1	150754	86	3142	2.08419	0.0843626	36.1	22.9
KI270732.1	1	41543	2	193	0.464579	0.00722143	36.7	60
KI270733.1	1	179772	48915	53736	29.8912	40.5603	36	5.78
KI270734.1	1	165050	909	15881	9.62193	0.821678	36.4	21.6
KI270736.1	1	181920	4	219	0.120383	0.00325418	36.3	60
KI270738.1	1	99375	7	758	0.762767	0.0104453	35.6	51.4
KI270741.1	1	157432	1	147	0.0933736	0.000933736	36.6	0
KI270742.1	1	186739	289	19200	10.2817	0.230097	36.3	46.5
KI270743.1	1	210658	158	6998	3.32197	0.110663	36	39
KI270744.1	1	168472	1042	26769	15.8893	0.919969	36.1	45
KI270745.1	1	41891	156	9080	21.6753	0.553007	35.9	18.4
KI270748.1	1	93321	29	2387	2.55784	0.0463561	36.6	11.2
KI270749.1	1	158759	6	736	0.463596	0.00563748	35.8	40.3
KI270750.1	1	148850	2	270	0.181391	0.00198186	36.3	60
KI270751.1	1	150742	894	22891	15.1855	0.884551	36.2	4.44
KI270754.1	1	40191	57	4644	11.5548	0.211714	36.1	24.8
KI270755.1	1	36723	43	3728	10.1517	0.175013	36	33.9
GL000208.1	1	92689	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
